X Y Z dcp
7.220499992370605469e+00 6.000000000000000000e+00 1.492961049079895020e+00 2.102907374501228333e-02
7.326600074768066406e+00 6.000000000000000000e+00 1.489261031150817871e+00 1.651660911738872528e-02
6.902200222015380859e+00 6.000000000000000000e+00 1.504161000251770020e+00 2.995177507400512695e-01
7.008299827575683594e+00 6.000000000000000000e+00 1.500360965728759766e+00 1.051837056875228882e-01
7.114399909973144531e+00 6.000000000000000000e+00 1.496660947799682617e+00 3.585907444357872009e-02
7.432700157165527344e+00 6.000000000000000000e+00 1.485561013221740723e+00 1.495095063000917435e-02
7.856999874114990234e+00 6.000000000000000000e+00 1.470760941505432129e+00 1.458473131060600281e-02
7.963099956512451172e+00 6.000000000000000000e+00 1.467061042785644531e+00 1.380117051303386688e-02
7.750999927520751953e+00 6.000000000000000000e+00 1.474460959434509277e+00 1.481380499899387360e-02
6.796100139617919922e+00 6.000000000000000000e+00 1.507861018180847168e+00 8.722543120384216309e-01
8.493599891662597656e+00 6.000000000000000000e+00 1.448560953140258789e+00 8.116024546325206757e-03
8.599699974060058594e+00 6.000000000000000000e+00 1.444860935211181641e+00 6.935390178114175797e-03
8.705800056457519531e+00 6.000000000000000000e+00 1.441161036491394043e+00 5.326244048774242401e-03
8.811900138854980469e+00 6.000000000000000000e+00 1.437461018562316895e+00 2.067609690129756927e-03
8.281399726867675781e+00 6.000000000000000000e+00 1.455960988998413086e+00 1.139743905514478683e-02
8.387499809265136719e+00 6.000000000000000000e+00 1.452260971069335938e+00 9.640317410230636597e-03
8.069199562072753906e+00 6.000000000000000000e+00 1.463361024856567383e+00 1.343729253858327866e-02
8.175299644470214844e+00 6.000000000000000000e+00 1.459661006927490234e+00 1.182429306209087372e-02
7.538799762725830078e+00 6.000000000000000000e+00 1.481860995292663574e+00 1.471243891865015030e-02
7.644899845123291016e+00 6.000000000000000000e+00 1.478160977363586426e+00 1.505656074732542038e-02
6.690000057220458984e+00 6.000000000000000000e+00 1.511561036109924316e+00 4.938283920288085938e+00
