X Y Z dcp
7.632249832153320312e+00 3.075000047683715820e+00 1.376441121101379395e+00 1.352888438850641251e-02
7.644899845123291016e+00 2.822003126144409180e+00 1.367163658142089844e+00 1.283765770494937897e-02
7.606625080108642578e+00 3.587500095367431641e+00 1.395234823226928711e+00 1.384360715746879578e-02
7.580999851226806641e+00 4.099999904632568359e+00 1.414028406143188477e+00 1.391520909965038300e-02
7.760375022888183594e+00 5.124999880790710449e-01 1.282472729682922363e+00 2.446970203891396523e-03
7.785999774932861328e+00 0.000000000000000000e+00 1.263745307922363281e+00 1.601254451088607311e-03
7.750999927520751953e+00 7.000014781951904297e-01 1.289348840713500977e+00 2.804563613608479500e-03
7.734749794006347656e+00 1.024999976158142090e+00 1.301266670227050781e+00 3.378396155312657356e-03
7.709125041961669922e+00 1.537500023841857910e+00 1.320060253143310547e+00 6.128179375082254410e-03
7.683499813079833984e+00 2.049999952316284180e+00 1.338853836059570312e+00 9.493514895439147949e-03
7.657875061035156250e+00 2.562500000000000000e+00 1.357647538185119629e+00 1.211067941039800644e-02
7.427249908447265625e+00 7.175000190734863281e+00 1.531081318855285645e+00 2.468040958046913147e-02
7.452875137329101562e+00 6.662499904632568359e+00 1.510121703147888184e+00 1.901295222342014313e-02
7.401625156402587891e+00 7.687500000000000000e+00 1.552151799201965332e+00 3.105677664279937744e-02
7.386629581451416016e+00 7.987406253814697266e+00 1.564540028572082520e+00 3.430716320872306824e-02
7.529749870300292969e+00 5.125000000000000000e+00 1.451615571975708008e+00 1.392203848809003830e-02
7.538799762725830078e+00 4.944004535675048828e+00 1.444978475570678711e+00 1.391693670302629471e-02
7.555375099182128906e+00 4.612500190734863281e+00 1.432821989059448242e+00 1.387056801468133926e-02
7.375999927520751953e+00 8.199999809265136719e+00 1.573351621627807617e+00 3.620633855462074280e-02
7.350375175476074219e+00 8.712499618530273438e+00 1.594681859016418457e+00 3.787832334637641907e-02
7.324749946594238281e+00 9.225000381469726562e+00 1.616208910942077637e+00 3.337344154715538025e-02
7.299125194549560547e+00 9.737500190734863281e+00 1.637967228889465332e+00 1.814127899706363678e-02
7.285688400268554688e+00 1.000622844696044922e+01 1.649435639381408691e+00 9.952673688530921936e-03
7.504125118255615234e+00 5.637499809265136719e+00 1.470409274101257324e+00 1.401794701814651489e-02
7.478499889373779297e+00 6.150000095367431641e+00 1.489202857017517090e+00 1.519575808197259903e-02
7.273499965667724609e+00 1.025000000000000000e+01 1.659899950027465820e+00 3.250461304560303688e-03
