X Y Z dcp
8.256099700927734375e+00 7.500000000000000000e+00 1.521661043167114258e+00 1.058209780603647232e-02
8.348238945007324219e+00 7.500000000000000000e+00 1.519178032875061035e+00 9.079219773411750793e-03
7.150595188140869141e+00 7.500000000000000000e+00 1.551509737968444824e+00 4.791463166475296021e-02
7.242733955383300781e+00 7.500000000000000000e+00 1.549026846885681152e+00 3.655753284692764282e-02
7.058492660522460938e+00 7.500000000000000000e+00 1.553956151008605957e+00 6.457948684692382812e-02
7.703365802764892578e+00 7.500000000000000000e+00 1.536585330963134766e+00 2.310348674654960632e-02
7.795505046844482422e+00 7.500000000000000000e+00 1.534102439880371094e+00 2.133363485336303711e-02
7.887607574462890625e+00 7.500000000000000000e+00 1.531556129455566406e+00 2.017285302281379700e-02
8.440378189086914062e+00 7.500000000000000000e+00 1.516731739044189453e+00 7.370560895651578903e-03
7.334873199462890625e+00 7.500000000000000000e+00 1.546480536460876465e+00 2.913112007081508636e-02
6.874278068542480469e+00 7.500000000000000000e+00 1.558921933174133301e+00 3.446185290813446045e-01
6.966416835784912109e+00 7.500000000000000000e+00 1.556439042091369629e+00 1.402059048414230347e-01
8.164024353027343750e+00 7.500000000000000000e+00 1.524143934249877930e+00 1.298977993428707123e-02
7.979746341705322266e+00 7.500000000000000000e+00 1.529109716415405273e+00 1.676748692989349365e-02
6.690000057220458984e+00 7.500000000000000000e+00 1.563951253890991211e+00 5.931974887847900391e+00
6.782138824462890625e+00 7.500000000000000000e+00 1.561404824256896973e+00 1.260502815246582031e+00
8.071885108947753906e+00 7.500000000000000000e+00 1.526626825332641602e+00 1.634616963565349579e-02
7.427011966705322266e+00 7.500000000000000000e+00 1.543997526168823242e+00 2.862736582756042480e-02
7.519151210784912109e+00 7.500000000000000000e+00 1.541514635086059570e+00 2.547436580061912537e-02
7.611227035522460938e+00 7.500000000000000000e+00 1.539068222045898438e+00 2.485531568527221680e-02
8.532517433166503906e+00 7.500000000000000000e+00 1.514185309410095215e+00 3.007414517924189568e-03
