X Y Z dcp
6.690000057220458984e+00 4.000000000000000000e+00 1.441707253456115723e+00 5.613133430480957031e+00
6.796100139617919922e+00 4.000000000000000000e+00 1.438007235527038574e+00 7.337509393692016602e-01
8.387499809265136719e+00 4.000000000000000000e+00 1.382407307624816895e+00 8.918268606066703796e-03
8.493599891662597656e+00 4.000000000000000000e+00 1.378707289695739746e+00 7.236731704324483871e-03
8.599699974060058594e+00 4.000000000000000000e+00 1.375007271766662598e+00 6.051633972674608231e-03
8.281399726867675781e+00 4.000000000000000000e+00 1.386107325553894043e+00 1.061739027500152588e-02
7.750999927520751953e+00 4.000000000000000000e+00 1.404607295989990234e+00 1.328241452574729919e-02
7.856999874114990234e+00 4.000000000000000000e+00 1.400907278060913086e+00 1.280541438609361649e-02
7.963099956512451172e+00 4.000000000000000000e+00 1.397207260131835938e+00 1.219041459262371063e-02
8.069199562072753906e+00 4.000000000000000000e+00 1.393507242202758789e+00 1.204687822610139847e-02
8.175299644470214844e+00 4.000000000000000000e+00 1.389807343482971191e+00 1.080595143139362335e-02
7.538799762725830078e+00 4.000000000000000000e+00 1.412007331848144531e+00 1.412077993154525757e-02
7.644899845123291016e+00 4.000000000000000000e+00 1.408307313919067383e+00 1.361465919762849808e-02
7.008299827575683594e+00 4.000000000000000000e+00 1.430607318878173828e+00 1.068910956382751465e-01
7.114399909973144531e+00 4.000000000000000000e+00 1.426907300949096680e+00 3.595192730426788330e-02
7.220499992370605469e+00 4.000000000000000000e+00 1.423126816749572754e+00 1.966599933803081512e-02
7.326600074768066406e+00 4.000000000000000000e+00 1.419407248497009277e+00 1.688270643353462219e-02
7.432700157165527344e+00 4.000000000000000000e+00 1.415707230567932129e+00 1.417646277695894241e-02
8.705800056457519531e+00 4.000000000000000000e+00 1.371307253837585449e+00 4.814268089830875397e-03
8.811900138854980469e+00 4.000000000000000000e+00 1.367607235908508301e+00 1.871000044047832489e-03
6.902200222015380859e+00 4.000000000000000000e+00 1.434307336807250977e+00 2.989456951618194580e-01
