X Y Z dcp
7.404261112213134766e+00 9.500000000000000000e+00 1.626973152160644531e+00 2.128661610186100006e-02
7.475717067718505859e+00 9.500000000000000000e+00 1.626287698745727539e+00 1.969446800649166107e-02
7.047180652618408203e+00 9.500000000000000000e+00 1.630339026451110840e+00 4.619974270462989807e-02
7.118536472320556641e+00 9.500000000000000000e+00 1.629707336425781250e+00 4.282118007540702820e-02
7.832843780517578125e+00 9.500000000000000000e+00 1.622875571250915527e+00 8.034221827983856201e-03
7.904300212860107422e+00 9.500000000000000000e+00 1.622243881225585938e+00 5.150806624442338943e-03
6.904268264770507812e+00 9.500000000000000000e+00 1.631756067276000977e+00 1.618939191102981567e-01
6.975724220275878906e+00 9.500000000000000000e+00 1.631024360656738281e+00 7.347330451011657715e-02
7.761441230773925781e+00 9.500000000000000000e+00 1.623607277870178223e+00 9.821758605539798737e-03
7.332851409912109375e+00 9.500000000000000000e+00 1.627658486366271973e+00 2.354059182107448578e-02
7.189992904663085938e+00 9.500000000000000000e+00 1.629022002220153809e+00 2.991359494626522064e-02
6.761456012725830078e+00 9.500000000000000000e+00 1.633073210716247559e+00 9.629977941513061523e-01
6.832812309265136719e+00 9.500000000000000000e+00 1.632387876510620117e+00 3.835753798484802246e-01
7.261448860168457031e+00 9.500000000000000000e+00 1.628290176391601562e+00 2.866381220519542694e-02
7.689985752105712891e+00 9.500000000000000000e+00 1.624292612075805664e+00 1.186749152839183807e-02
6.690000057220458984e+00 9.500000000000000000e+00 1.633704781532287598e+00 5.824410915374755859e+00
7.618575572967529297e+00 9.500000000000000000e+00 1.624924421310424805e+00 1.593949273228645325e-02
7.975709915161132812e+00 9.500000000000000000e+00 1.621558547019958496e+00 2.523221308365464211e-03
8.047112464904785156e+00 9.500000000000000000e+00 1.620826840400695801e+00 -7.319969590753316879e-04
8.118568420410156250e+00 9.500000000000000000e+00 1.620195150375366211e+00 -1.486315624788403511e-03
7.547119617462158203e+00 9.500000000000000000e+00 1.625609755516052246e+00 1.619422435760498047e-02
