X Y Z dcp
7.220499992370605469e+00 2.500000000000000000e+00 1.370817065238952637e+00 1.878673210740089417e-02
7.326600074768066406e+00 2.500000000000000000e+00 1.367117047309875488e+00 1.427775621414184570e-02
7.008299827575683594e+00 2.500000000000000000e+00 1.378216981887817383e+00 1.045384183526039124e-01
7.114399909973144531e+00 2.500000000000000000e+00 1.374517083168029785e+00 3.445968404412269592e-02
7.432700157165527344e+00 2.500000000000000000e+00 1.363329291343688965e+00 1.197653729468584061e-02
7.538799762725830078e+00 2.500000000000000000e+00 1.359616994857788086e+00 1.190512254834175110e-02
8.281399726867675781e+00 2.500000000000000000e+00 1.333716988563537598e+00 8.377121761441230774e-03
8.387499809265136719e+00 2.500000000000000000e+00 1.330017089843750000e+00 6.619219668209552765e-03
8.493599891662597656e+00 2.500000000000000000e+00 1.326317071914672852e+00 5.316609516739845276e-03
8.599699974060058594e+00 2.500000000000000000e+00 1.322617053985595703e+00 4.720780532807111740e-03
8.705800056457519531e+00 2.500000000000000000e+00 1.318917036056518555e+00 3.907097503542900085e-03
6.796100139617919922e+00 2.500000000000000000e+00 1.385617017745971680e+00 8.566315174102783203e-01
6.902200222015380859e+00 2.500000000000000000e+00 1.381916999816894531e+00 2.961455881595611572e-01
8.069199562072753906e+00 2.500000000000000000e+00 1.341117024421691895e+00 1.003248803317546844e-02
8.175299644470214844e+00 2.500000000000000000e+00 1.337417006492614746e+00 8.578293025493621826e-03
7.856999874114990234e+00 2.500000000000000000e+00 1.348517060279846191e+00 1.107104867696762085e-02
7.963099956512451172e+00 2.500000000000000000e+00 1.344817042350769043e+00 1.031095162034034729e-02
7.644899845123291016e+00 2.500000000000000000e+00 1.355917096138000488e+00 1.183139067143201828e-02
7.750999927520751953e+00 2.500000000000000000e+00 1.352217078208923340e+00 1.154865883290767670e-02
8.811900138854980469e+00 2.500000000000000000e+00 1.315217018127441406e+00 1.240317011252045631e-03
6.690000057220458984e+00 2.500000000000000000e+00 1.389317035675048828e+00 5.732622146606445312e+00
